S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
571,2019112001004784,ADBL,38,4,50,416,20800.00,2019-11-21 10:51:37.719265
572,2019112001004785,NBL,14,17,1500,317,475500.00,2019-11-21 10:51:37.719265
573,2019112001004786,NICA,32,28,477,410,195570.00,2019-11-21 10:51:37.719265
574,2019112001004787,CBL,51,57,58,137,7946.00,2019-11-21 10:51:37.719265
575,2019112001004788,ILBS,41,44,10,480,4800.00,2019-11-21 10:51:37.719265
576,2019112001004789,ILBS,41,53,200,480,96000.00,2019-11-21 10:51:37.719265
577,2019112001004790,MERO,45,33,104,417,43368.00,2019-11-21 10:51:37.719265
578,2019112001004791,MERO,54,33,50,417,20850.00,2019-11-21 10:51:37.719265
579,2019112001004725,PPCL,56,56,10,103,1030.00,2019-11-21 10:51:37.719265
580,2019112001004726,SPDL,45,45,71,85,6035.00,2019-11-21 10:51:37.719265
581,2019112001004727,SANIMA,39,14,116,305,35380.00,2019-11-21 10:51:37.719265
582,2019112001004728,OHL,38,33,100,412,41200.00,2019-11-21 10:51:37.719265
583,2019112001004729,NBL,51,10,100,318,31800.00,2019-11-21 10:51:37.719265
584,2019112001004730,NABIL,25,41,100,754,75400.00,2019-11-21 10:51:37.719265
585,2019112001004731,NABIL,59,41,10,754,7540.00,2019-11-21 10:51:37.719265
586,2019112001004732,NABIL,11,41,58,754,43732.00,2019-11-21 10:51:37.719265
587,2019112001004733,RHPL,39,1,40,165,6600.00,2019-11-21 10:51:37.719265
588,2019112001004734,HIDCL,39,14,60,131,7860.00,2019-11-21 10:51:37.719265
589,2019112001004735,HIDCL,25,14,100,131,13100.00,2019-11-21 10:51:37.719265
590,2019112001004736,HIDCL,56,14,200,131,26200.00,2019-11-21 10:51:37.719265
591,2019112001004737,HIDCL,18,14,500,131,65500.00,2019-11-21 10:51:37.719265
592,2019112001004738,HIDCL,55,14,140,131,18340.00,2019-11-21 10:51:37.719265
593,2019112001004739,SCB,41,17,27,550,14850.00,2019-11-21 10:51:37.719265
594,2019112001004740,NMB,11,4,30,387,11610.00,2019-11-21 10:51:37.719265
595,2019112001004741,SABSL,36,42,90,546,49140.00,2019-11-21 10:51:37.719265
596,2019112001004742,MNBBL,52,49,30,315,9450.00,2019-11-21 10:51:37.719265
597,2019112001004743,MERO,42,42,18,418,7524.00,2019-11-21 10:51:37.719265
598,2019112001004744,MERO,44,42,15,418,6270.00,2019-11-21 10:51:37.719265
599,2019112001004745,NTC,25,50,40,629,25160.00,2019-11-21 10:51:37.719265
