S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
563,2019100201002269,CIT,13,38,30,1803,54090.00,2019-10-02 16:32:25.951857
564,2019100201002270,CIT,26,38,100,1800,180000.00,2019-10-02 16:32:25.951857
565,2019100201002271,CIT,45,38,30,1800,54000.00,2019-10-02 16:32:25.951857
566,2019100201002272,CIT,32,38,50,1796,89800.00,2019-10-02 16:32:25.951857
567,2019100201002273,CIT,11,38,25,1795,44875.00,2019-10-02 16:32:25.951857
568,2019100201002274,CIT,14,38,25,1795,44875.00,2019-10-02 16:32:25.951857
569,2019100201002211,HBL,28,14,250,500,125000.00,2019-10-02 16:32:25.951857
570,2019100201002212,CFCL,25,45,100,111,11100.00,2019-10-02 16:32:25.951857
571,2019100201002213,SHIVM,1,39,50,512,25600.00,2019-10-02 16:32:25.951857
572,2019100201002214,SHIVM,3,39,10,511,5110.00,2019-10-02 16:32:25.951857
573,2019100201002215,SHIVM,45,39,300,511,153300.00,2019-10-02 16:32:25.951857
574,2019100201002216,SHIVM,45,39,500,511,255500.00,2019-10-02 16:32:25.951857
575,2019100201002217,SHIVM,21,39,15,511,7665.00,2019-10-02 16:32:25.951857
576,2019100201002218,RHPL,1,29,20,160,3200.00,2019-10-02 16:32:25.951857
577,2019100201002219,SHPC,11,17,998,194,193612.00,2019-10-02 16:32:25.951857
578,2019100201002220,KBL,35,54,80,180,14400.00,2019-10-02 16:32:25.951857
579,2019100201002221,CFCL,25,45,300,110,33000.00,2019-10-02 16:32:25.951857
580,2019100201002222,CFCL,8,45,100,110,11000.00,2019-10-02 16:32:25.951857
581,2019100201002223,SABSL,1,58,10,450,4500.00,2019-10-02 16:32:25.951857
582,2019100201002224,MERO,29,35,33,559,18447.00,2019-10-02 16:32:25.951857
583,2019100201002225,MERO,29,6,217,560,121520.00,2019-10-02 16:32:25.951857
584,2019100201002226,API,25,16,65,113,7345.00,2019-10-02 16:32:25.951857
585,2019100201002227,BPCL,20,35,11,360,3960.00,2019-10-02 16:32:25.951857
586,2019100201002228,BPCL,20,16,139,360,50040.00,2019-10-02 16:32:25.951857
587,2019100201002229,ALICL,51,28,45,313,14085.00,2019-10-02 16:32:25.951857
588,2019100201002230,ALICL,26,28,1000,313,313000.00,2019-10-02 16:32:25.951857
589,2019100201002231,ALICL,33,28,1000,312,312000.00,2019-10-02 16:32:25.951857
590,2019100201002232,ALICL,28,28,500,312,156000.00,2019-10-02 16:32:25.951857
591,2019100201002233,CFCL,53,45,200,109,21800.00,2019-10-02 16:32:25.951857
592,2019100201002234,CFCL,39,45,50,109,5450.00,2019-10-02 16:32:25.951857
593,2019100201002198,BOKL,38,11,200,260,52000.00,2019-10-02 16:32:25.951857
594,2019100201002199,SBL,45,55,200,332,66400.00,2019-10-02 16:32:25.951857
595,2019100201002200,UPPER,21,17,20,236,4720.00,2019-10-02 16:32:25.951857
596,2019100201002201,UPPER,52,17,110,236,25960.00,2019-10-02 16:32:25.951857
597,2019100201002202,UPPER,13,17,215,235,50525.00,2019-10-02 16:32:25.951857
598,2019100201002203,NLIC,21,16,50,758,37900.00,2019-10-02 16:32:25.951857
599,2019100201002204,MLBL,49,49,2450,212,519400.00,2019-10-02 16:32:25.951857
